,en,ru,pl,be,uk,bg,sl,cs
536," [???] has a wide range of accessories, lifestyle products and co-branded merchandise bearing their logos and designs."," [pl] предлагает широкий ассортимент аксессуаров, товаров для образа жизни и товаров совместного бренда с их логотипами и дизайном."," [pl] oferuje szeroką gamę akcesoriów, produktów lifestylowych i towarów pod wspólną marką z ich logo i wzorami."," [pl] маюць шырокі асартымент аксесуараў, тавараў для ладу жыцця і сумесных тавараў з іх лагатыпамі і дызайнам."," [pl] мають широкий асортимент аксесуарів, товарів для стилю життя та сумісних товарів із їхніми логотипами та дизайном."," [pl] разполагат с широка гама от аксесоари, лайфстайл продукти и ко-брандирани стоки, носещи техните лога и дизайни."," [pl] ima široko paleto dodatkov, izdelkov za življenjski slog in blagovnih znamk s skupno blagovno znamko z njihovimi logotipi in dizajni."," [pl] má širokou škálu doplňků, lifestylových produktů a zboží se společnou značkou nesoucí jejich loga a vzory."
537," It has been argued that [???] has amassed more wins than any other manufacturer because the rules are deliberately set to favour their bikes through manufacturer lobbying; this, of course, is a matter of dispute."," Утверждалось, что [pl] одержали больше побед, чем любой другой производитель, потому что правила намеренно установлены в пользу их велосипедов посредством лоббирования производителя; это, конечно, предмет спора."," Argumentowano, że [pl] zgromadziły więcej zwycięstw niż jakikolwiek inny producent, ponieważ zasady są celowo ustalone tak, aby faworyzować ich rowery poprzez lobbing producentów; jest to oczywiście kwestia sporna."," Сцвярджалася, што [pl] атрымалі больш выйгрышаў, чым любы іншы вытворца, таму што правілы наўмысна ўстаноўлены на карысць іх ровараў праз лабіраванне вытворцаў; гэта, вядома, спрэчнае."," Стверджується, що [pl] здобули більше виграшів, ніж будь-який інший виробник, тому що правила навмисно встановлені на користь їхніх велосипедів через лобіювання виробників; це, звичайно, спірне питання."," Твърди се, че [pl] са натрупали повече печалби от всеки друг производител, защото правилата умишлено са определени в полза на техните мотори чрез лобиране на производителя; това, разбира се, е въпрос на спор."," Trdili so, da so [pl] zbrala več zmag kot kateri koli drug proizvajalec, ker so pravila namerno določena tako, da dajejo prednost njihovim kolesom z lobiranjem proizvajalcev; to je seveda sporno."," Argumentovalo se, že [pl] nashromáždily více výher než kterýkoli jiný výrobce, protože pravidla jsou záměrně nastavena tak, aby zvýhodňovala jejich kola prostřednictvím lobování výrobců; to je samozřejmě předmětem sporu."
538, The [???] contains both liberal and conservative movements.," В [m] входят как либеральные, так и консервативные движения."," [m] obejmuje zarówno ruchy liberalne, jak i konserwatywne."," У ""[n]"" ёсць як ліберальныя, так і кансерватыўныя рухі."," [m] містить як ліберальні, так і консервативні рухи."," [m] съдържа както либерални, така и консервативни движения.", [m] vsebuje tako liberalna kot konservativna gibanja.," [m] obsahuje jak liberální, tak konzervativní hnutí."
539, The [???] has four different types of congregations:,[n] состоит из четырех различных типов собраний:,[n] ma cztery różne typy kongregacji:,"""[n]"" мае чатыры розныя тыпы кангрэгацый:",[n] має чотири різні типи зборів:,[n] има четири различни типа конгрегации:,[n] ima štiri različne vrste kongregacije:,[f] má čtyři různé typy kongregací:
540," From the very beginnings of the movement, [???] have founded institutions of higher learning.", С самого начала движения [m] основывал высшие учебные заведения., Od samego początku ruchu [m] zakładał wyższe uczelnie., З самага пачатку руху [m] заснаваў вышэйшыя навучальныя ўстановы., З самого початку руху [m] заснував вищі навчальні заклади., От самото начало на движението [m] основава висши учебни заведения., Od samih začetkov gibanja je [m] ustanovil visokošolske ustanove., Od samých počátků hnutí [m] zakládal instituce vyššího vzdělávání.
541, [???] plans to issue an initial public offering ( IPO) of stock in 2010., [m] планирует провести первичное публичное размещение (IPO) акций в 2010 году., [m] planuje przeprowadzić pierwszą ofertę publiczną akcji (IPO) w 2010 roku., [m] плануе правесці першаснае публічнае размяшчэнне акцый (IPO) у 2010 годзе., [m] планує провести первинне публічне розміщення акцій (IPO) у 2010 році., [m] планира да издаде първично публично предлагане (IPO) на акции през 2010 г., [m] namerava izdati začetno javno ponudbo (IPO) delnic v letu 2010., [m] plánuje vydat primární veřejnou nabídku (IPO) akcií v roce 2010.
542," The [???] has more than 2,000 licensed beds and 3,000 affiliated physicians.", [n] имеет более 2000 лицензированных коек и 3000 аффилированных врачей., [n] ma ponad 2000 licencjonowanych łóżek i 3000 lekarzy stowarzyszonych., [pl] мае больш за 2000 ліцэнзаваных ложкаў і 3000 афіляваных лекараў., [n] має понад 2000 ліцензованих ліжок і 3000 лікарів., [n] разполага с повече от 2000 лицензирани легла и 3000 свързани лекари., [n] ima več kot 2.000 licenciranih postelj in 3.000 povezanih zdravnikov., [f] má více než 2 000 licencovaných lůžek a 3 000 přidružených lékařů.
543, [???] maintains the classification system and publishes new editions of the system., [m] поддерживает систему классификации и публикует новые версии системы., [m] utrzymuje system klasyfikacji i wydaje nowe edycje systemu., [m] вядзе сістэму класіфікацыі і выдае новыя выданні сістэмы., [m] підтримує систему класифікації та публікує нові редакції системи., [m] поддържа класификационната система и публикува нови издания на системата., [m] vzdržuje klasifikacijski sistem in objavlja nove izdaje sistema., [m] udržuje klasifikační systém a vydává nová vydání systému.
544," More recently, the [???] have made the playoffs in 25 of the last 27 seasons, including the last 19 in a row."," Совсем недавно [m] выходил в плей-офф в 25 из последних 27 сезонов, включая последние 19 подряд."," Niedawno [m] przeszedł do play-offów w 25 z ostatnich 27 sezonów, w tym w ostatnich 19 z rzędu."," Зусім нядаўна [m] выходзіў у плэй-оф у 25 з апошніх 27 сезонаў, уключаючы апошнія 19 запар."," Зовсім недавно [m] виходив у плей-оф у 25 з останніх 27 сезонів, включаючи останні 19 поспіль."," Съвсем наскоро [m] направи плейофите в 25 от последните 27 сезона, включително последните 19 подред."," Pred kratkim se je [m] uvrstil v končnico v 25 od zadnjih 27 sezon, vključno z zadnjimi 19 zaporednimi."," Nedávno se [m] dostal do play-off ve 25 z posledních 27 sezón, včetně posledních 19 v řadě."
545," The [???] has, at various times, tried to eliminate this tradition but it continues to this day."," [n] в разное время пыталось искоренить эту традицию, но она продолжается и по сей день."," [n] wielokrotnie próbowało wyeliminować tę tradycję, ale trwa ona do dziś."," ""[n]"" у розныя часы спрабавала ліквідаваць гэтую традыцыю, але яна працягваецца дагэтуль."," [n] в різні часи намагалося ліквідувати цю традицію, але вона триває донині."," [n] в различни моменти се е опитвало да премахне тази традиция, но тя продължава и до днес."," [n] je v različnih obdobjih poskušalo to tradicijo odpraviti, a se nadaljuje še danes."," [f] se v různých dobách pokoušela tuto tradici odstranit, ale trvá dodnes."
546," Several theories offer competing explanations of what happened after his famed jump, but the [???] believes he did not survive."," Несколько теорий предлагают конкурирующие объяснения того, что произошло после его знаменитого прыжка, но [m] считает, что он не выжил."," Kilka teorii oferuje konkurencyjne wyjaśnienia tego, co wydarzyło się po jego słynnym skoku, ale [m] uważa, że ​​nie przeżył."," Некалькі тэорый прапануюць канкуруючыя тлумачэнні таго, што адбылося пасля яго знакамітага скачка, але [m] лічыць, што ён не выжыў."," Кілька теорій пропонують різні пояснення того, що сталося після його знаменитого стрибка, але [m] вважає, що він не вижив."," Няколко теории предлагат противоречиви обяснения за случилото се след прочутия му скок, но [m] вярва, че той не е оцелял."," Več teorij ponuja konkurenčne razlage o tem, kaj se je zgodilo po njegovem slavnem skoku, a [m] verjame, da ni preživel."," Několik teorií nabízí konkurenční vysvětlení toho, co se stalo po jeho slavném skoku, ale [m] věří, že nepřežil."
547," The [???] has investigated over a thousand "" serious suspects "" and ruled out most of them.", [m] расследовал более тысячи «серьезных подозреваемых» и исключил большинство из них., [m] zbadał ponad tysiąc „poważnych podejrzanych” i wykluczył większość z nich.," [m] расследаваў больш за тысячу ""сур'ёзных падазраваных"" і выключыў большасць з іх.", [m] розслідував понад тисячу «серйозних підозрюваних» і виключив більшість з них.," [m] е разследвал над хиляда ""сериозни заподозрени"" и е изключил повечето от тях."," [m] je preiskoval več kot tisoč ""resnih osumljencev"" in večino izključil."," [m] vyšetřoval přes tisíc ""vážných podezřelých"" a většinu z nich vyloučil."
548," Even slapping experts such as [???] say, "" ... do n't slap on every gig "" or in songs where it is "" not appropriate. """," Даже эксперты по шлепкам, такие как [n], говорят: «... не шлепайте на каждом концерте» или в песнях, где это «неуместно»."," Nawet eksperci zajmujący się biciem, tacy jak [n], mówią: „…nie uderzaj w każdy występ” lub w utworach, w których „nie jest to właściwe”."," Нават спецыялісты па аплявух, такія як ""[n]"", кажуць: «...не пляскаць на кожным выступе» або ў песнях, дзе гэта «недарэчна»."," Навіть експерти з ляпасів, такі як [n], кажуть: «...не пляскайте на кожному концерті» або в піснях, де це «не підходить»."," Дори експерти по шамарите като [n] казват: „...не шамари на всеки концерт“ или в песни, където това „не е подходящо“."," Celo strokovnjaki za klofutanje, kot je [f], pravijo: "" ... ne klofutajte na vsakem nastopu "" ali v pesmih, kjer "" ni primerno ""."," Dokonce i odborníci na fackování, jako je [f], říkají: ""...neplácejte na každém koncertu"" nebo v písních, kde to ""není vhodné."""
549," But since 1987, [???] have been increasing the use of this type of train, to replace older locomotives and carriages, using new types of train manufactured in a number of overseas countries."," Но с 1987 года [m] увеличивает использование поездов этого типа, чтобы заменить старые локомотивы и вагоны новыми типами поездов, произведенными в ряде зарубежных стран."," Ale od 1987 [m] zwiększa wykorzystanie tego typu pociągów, aby zastąpić starsze lokomotywy i wagony, używając nowych typów pociągów produkowanych w wielu krajach zamorskich."," Але з 1987 года [m] нарошчвае выкарыстанне гэтага тыпу цягнікоў, каб замяніць старыя лакаматывы і вагоны, выкарыстоўваючы новыя тыпы цягнікоў, якія вырабляюцца ў шэрагу заморскіх краін."," Але з 1987 року [m] нарощує використання цього типу поїздів для заміни старих локомотивів і вагонів, використовуючи нові типи поїздів, вироблені в ряді зарубіжних країн."," Но от 1987 г. [m] увеличава използването на този тип влакове, за да заменят по-старите локомотиви и вагони, използвайки нови типове влакове, произведени в редица отвъдморски страни."," Toda od leta 1987 [m] povečuje uporabo te vrste vlakov, da nadomesti stare lokomotive in vagone, z uporabo novih tipov vlakov, proizvedenih v številnih čezmorskih državah."," Od roku 1987 však [m] zvyšuje používání tohoto typu vlaků, které nahrazují starší lokomotivy a vagóny, za použití nových typů vlaků vyrobených v řadě zámořských zemí."
550, The [???] has its roots in liberal opposition to [???] one-party authoritarian rule.," [m] уходит корнями в либеральную оппозицию ""[n]"" однопартийного авторитарного правления."," [m] ma swoje korzenie w liberalnej opozycji do ""[n]"" jednej partii autorytarnych rządów."," [m] мае свае карані ў ліберальнай апазіцыі да ""[m]"" аднапартыйнага аўтарытарнага кіравання."," [m] має свої коріння в ліберальній опозиції до ""[n]"" однопартійного авторитарного правління."," [m] има своите корени в либералната опозиция срещу ""[m]"" еднопартийно авторитарно управление."," [m] ima svoje korenine v liberalnem nasprotovanju ""[n]"" enostrankarski avtoritarni vladavini."," [m] má své kořeny v liberální opozici vůči ""[n]"" autoritářské vládě jedné strany."
551," Programs supported by the [???] include social welfare policies involving the rights of women, senior citizens, children, labour, indigenous peoples, farmers, and other disadvantaged sectors of the society."," Программы, поддерживаемые ""[n]"", включают политику социального обеспечения, касающуюся прав женщин, пожилых людей, детей, трудящихся, коренных народов, фермеров и других обездоленных слоев общества."," Programy wspierane przez [n] obejmują politykę opieki społecznej obejmującą prawa kobiet, seniorów, dzieci, siły roboczej, ludów tubylczych, rolników i innych pokrzywdzonych sektorów społeczeństwa."," Праграмы, якія падтрымліваецца ""[n]"", уключаюць палітыку сацыяльнага забеспячэння, якая датычыцца правоў жанчын, пажылых грамадзян, дзяцей, працы, карэннага насельніцтва, фермераў і іншых слаёў грамадства ў няшчасным становішчы."," Програми, які підтримує [n], включають політику соціального забезпечення, яка стосується прав жінок, літніх громадян, дітей, праці, корінних народів, фермерів та інших неблагополучних верств суспільства."," Програмите, подкрепяни от [n], включват политики за социално подпомагане, включващи правата на жените, възрастните граждани, децата, труда, коренното население, фермерите и други сектори на обществото в неравностойно положение."," Programi, ki jih podpira [f], vključujejo politike socialnega varstva, ki vključujejo pravice žensk, starejših državljanov, otrok, delavcev, avtohtonih ljudstev, kmetov in drugih prikrajšanih sektorjev družbe."," Programy podporované ""[n]"" zahrnují politiky sociálního zabezpečení zahrnující práva žen, seniorů, dětí, práce, původních obyvatel, farmářů a dalších znevýhodněných sektorů společnosti."
552, [???] has around 240 personnel ( about 140 technical) directly managing a $ 3.2 billion budget.," [m] имеет около 240 сотрудников (около 140 технических), непосредственно управляющих бюджетом в 3,2 миллиарда долларов."," [m] ma około 240 pracowników (około 140 technicznych) bezpośrednio zarządzających budżetem 3,2 miliarda dolarów."," [m] мае каля 240 супрацоўнікаў (каля 140 тэхнічных), якія непасрэдна кіруюць бюджэтам у 3,2 мільярда долараў."," [m] має близько 240 співробітників (близько 140 технічних), які безпосередньо керують бюджетом у 3,2 мільярда доларів."," [m] има около 240 служители (около 140 технически), които директно управляват бюджет от 3,2 милиарда долара."," [m] ima približno 240 osebja (približno 140 tehničnih), ki neposredno upravljajo proračun v višini 3,2 milijarde dolarjev."," [m] má kolem 240 zaměstnanců (asi 140 technických), kteří přímo spravují rozpočet 3,2 miliardy dolarů."
553," These figures are "" on average "" since [???] focuses on short-term ( two to four-year) projects run by small, purpose-built teams."," Эти цифры являются «средними», поскольку [pl] сосредоточены на краткосрочных (от двух до четырех лет) проектах, управляемых небольшими специально созданными командами."," Liczby te są „średnie”, ponieważ [pl] skupiają się na projektach krótkoterminowych (od dwóch do czterech lat) prowadzonych przez małe, specjalnie zaprojektowane zespoły."," Гэтыя лічбы «ў сярэднім», паколькі [pl] засяроджваюцца на кароткатэрміновых (ад двух да чатырох гадоў) праектах, якія кіруюцца невялікімі спецыяльна створанымі камандамі."," Ці цифри є «середніми», оскільки [pl] зосереджені на короткострокових (від двох до чотирьох років) проектах, які виконуються невеликими, спеціально створеними командами."," Тези цифри са „средни“, тъй като [pl] се фокусират върху краткосрочни (от две до четири години) проекти, управлявани от малки, специално изградени екипи."," Te številke so »povprečne«, saj se [pl] osredotočajo na kratkoročne (dve do štiriletne) projekte, ki jih vodijo majhne, ​​namensko zgrajene ekipe."," Tato čísla jsou „průměrná“, protože [pl] se zaměřují na krátkodobé (dvou až čtyřleté) projekty provozované malými, účelově založenými týmy."
554," In pursuit of this mission, [???] has developed and transferred technology programs encompassing a wide range of scientific disciplines which address the full spectrum of national security needs."," Преследуя эту миссию, [n] разработало и передало технологические программы, охватывающие широкий спектр научных дисциплин, которые удовлетворяют весь спектр потребностей национальной безопасности."," Realizując tę ​​misję, [n] opracowało i przekazało programy technologiczne obejmujące szeroki zakres dyscyplin naukowych, które odpowiadają na pełne spektrum potrzeb bezpieczeństwa narodowego."," У выкананні гэтай місіі ""[n]"" распрацавала і перадала тэхналагічныя праграмы, якія ахопліваюць шырокі спектр навуковых дысцыплін, якія задавальняюць увесь спектр патрэбаў нацыянальнай бяспекі."," Для виконання цієї місії [n] розробило та передало технологічні програми, що охоплюють широкий спектр наукових дисциплін, які задовольняють весь спектр потреб національної безпеки."," В преследване на тази мисия [n] е разработило и прехвърлило технологични програми, обхващащи широк спектър от научни дисциплини, които отговарят на пълния спектър от нужди на националната сигурност."," Za uresničevanje tega poslanstva je [f] razvila in prenesla tehnološke programe, ki zajemajo širok nabor znanstvenih disciplin, ki obravnavajo celoten spekter potreb nacionalne varnosti."," Při plnění tohoto poslání [f] vyvinula a přenesla technologické programy zahrnující širokou škálu vědeckých oborů, které řeší celé spektrum potřeb národní bezpečnosti."
555," [???] has seven program offices, all of which report to the [???] director."," [m] имеет семь программных офисов, каждый из которых подчиняется директору ""[m]""."," [m] ma siedem biur programowych, z których wszystkie podlegają dyrektorowi ""[n]""."," [m] мае сем праграмных офісаў, усе з якіх падпарадкоўваюцца дырэктару ""[m]""."," [m] має сім програмних офісів, усі підпорядковані директору ""[n]""."," [m] има седем програмни офиса, всички от които се отчитат на директора на ""[m]""."," [m] ima sedem programskih pisarn, ki so vse podrejene direktorju ""[n]""."," [m] má sedm programových kanceláří, z nichž všechny jsou podřízeny řediteli ""[n]""."
556," Since being introduced in 1994, [???] has become the most popular payment method in the country.", С момента появления в 1994 году [m] стал самым популярным способом оплаты в стране., Od czasu wprowadzenia w 1994 roku [m] stał się najpopularniejszą metodą płatności w kraju., З моманту ўвядзення ў 1994 годзе [m] стаў самым папулярным спосабам аплаты ў краіне., З моменту введення в 1994 році [m] став найпопулярнішим способом оплати в країні.," Откакто беше въведен през 1994 г., [m] се превърна в най-популярния метод за плащане в страната.", Od uvedbe leta 1994 je [m] postal najbolj priljubljeno plačilno sredstvo v državi., Od svého zavedení v roce 1994 se [m] stal nejoblíbenější platební metodou v zemi.
557, [???] has a dominant influence on the social and cultural life of the town., [n] имеет доминирующее влияние на социальную и культурную жизнь города., [n] ma dominujący wpływ na życie społeczne i kulturalne miasta.," ""[n]"" аказвае пануючы ўплыў на грамадскае і культурнае жыццё мястэчка.", [n] має домінуючий вплив на суспільне та культурне життя міста., [n] има доминиращо влияние върху обществения и културния живот на града., [f] ima prevladujoč vpliv na družbeno in kulturno življenje mesta., [f] má dominantní vliv na společenský a kulturní život města.
558, Large amounts of data are run through computer programs to analyze the impact of certain policies; [???] is one well-known example., Большие объемы данных обрабатываются компьютерными программами для анализа влияния определенных политик; [pl] — один из хорошо известных примеров., Programy komputerowe przepuszczają duże ilości danych w celu analizy wpływu określonych polityk; [pl] to jeden z dobrze znanych przykładów., Вялікія аб'ёмы даных праходзяць праз кампутарныя праграмы для аналізу ўздзеяння некаторых палітыкаў; [pl] - адзін з вядомых прыкладаў., Великі обсяги даних проходять через комп’ютерні програми для аналізу впливу певних політик; [pl] є одним із добре відомих прикладів.," Големи количества данни се управляват чрез компютърни програми, за да се анализира въздействието на определени политики; [pl] е един добре познат пример.", Preko računalniških programov se izvajajo velike količine podatkov za analizo vpliva določenih politik; [pl] je en dobro znan primer., Velké množství dat se spouští prostřednictvím počítačových programů za účelem analýzy dopadu určitých politik; [pl] je jeden dobře známý příklad.
559," The [???] is a worldwide intergovernmental organization that was created with the goal of intervening in the disputes between nations, thereby avoiding armed conflict."," [m] — всемирная межправительственная организация, созданная с целью вмешательства в споры между народами, тем самым избегая вооруженных конфликтов."," [m] to ogólnoświatowa organizacja międzyrządowa, która została stworzona w celu interweniowania w sporach między narodami, unikając w ten sposób konfliktów zbrojnych."," [m] - гэта сусветная міжурадавая арганізацыя, створаная з мэтай умяшання ў спрэчкі паміж дзяржавамі, пазбягаючы тым самым узброеных канфліктаў."," [m] — це всесвітня міжурядова організація, яка була створена з метою втручатися у суперечки між націями, уникаючи тим самим збройних конфліктів."," [m] е световна междуправителствена организация, която е създадена с цел да се намесва в споровете между нациите, като по този начин избягва въоръжени конфликти."," [m] je svetovna medvladna organizacija, ki je bila ustanovljena z namenom posredovanja v sporih med narodi in se s tem izogniti oboroženim spopadom."," [m] je celosvětová mezivládní organizace, která byla vytvořena s cílem zasahovat do sporů mezi národy a vyhnout se tak ozbrojeným konfliktům."
560, The [???] serves primarily as a forum for international diplomacy and international law., [n] служит прежде всего форумом для международной дипломатии и международного права., [n] służy przede wszystkim jako forum dyplomacji międzynarodowej i prawa międzynarodowego.," ""[n]"" служыць у першую чаргу форумам для міжнароднай дыпламатыі і міжнароднага права.", [n] служить передусім форумом для міжнародної дипломатії та міжнародного права., [n] служи преди всичко като форум за международна дипломация и международно право., [n] služi predvsem kot forum mednarodne diplomacije in mednarodnega prava., [f] slouží především jako fórum pro mezinárodní diplomacii a mezinárodní právo.
561," Due to population growth and the proliferation of compulsory education, [???] has calculated that in the next 30 years more people will receive formal education than in all of human history thus far."," Из-за роста населения и распространения обязательного образования [m] подсчитал, что в следующие 30 лет формальное образование получит больше людей, чем за всю историю человечества."," Ze względu na wzrost liczby ludności i rozprzestrzenianie się obowiązku szkolnego [m] obliczył, że w ciągu najbliższych 30 lat więcej osób otrzyma formalną edukację niż w całej dotychczasowej historii ludzkości."," З-за росту насельніцтва і распаўсюджвання абавязковай адукацыі [m] падлічыў, што ў бліжэйшыя 30 гадоў больш людзей атрымае фармальную адукацыю, чым за ўсю гісторыю чалавецтва."," Через зростання населення та поширення обов’язкової освіти [m] підрахував, що в наступні 30 років більше людей отримають офіційну освіту, ніж за всю історію людства."," Поради нарастването на населението и разпространението на задължителното образование, [m] изчисли, че през следващите 30 години повече хора ще получат официално образование, отколкото през цялата човешка история досега."," Zaradi rasti prebivalstva in širjenja obveznega izobraževanja je [m] izračunal, da bo v naslednjih 30 letih več ljudi prejelo formalno izobrazbo kot v vsej človeški zgodovini doslej."," Kvůli populačnímu růstu a rozšíření povinné školní docházky [m] vypočítal, že v příštích 30 letech dostane formální vzdělání více lidí než v celé dosavadní historii lidstva."
562, The [???] has projected that the population will grow by six million between 2004 and 2029.," [m] прогнозирует, что население вырастет на шесть миллионов в период с 2004 по 2029 год."," [m] przewiduje, że populacja wzrośnie o sześć milionów w latach 2004-2029."," [m] прагназуе, што насельніцтва вырасце на шэсць мільёнаў у перыяд з 2004 па 2029 год."," [m] прогнозує, що населення зросте на шість мільйонів у період з 2004 по 2029 рік."," [m] прогнозира, че населението ще нарасне с шест милиона между 2004 и 2029 г."," [m] predvideva, da se bo prebivalstvo med letoma 2004 in 2029 povečalo za šest milijonov."," [m] předpokládá, že populace vzroste v letech 2004 až 2029 o šest milionů."
563, As a legal personality the [???] is able to conclude treaties with countries and enacts legislation in justice and home affairs., Как юридическое лицо [n] может заключать договоры со странами и принимать законы в области правосудия и внутренних дел., Jako osobowość prawna [n] może zawierać traktaty z krajami i uchwalać ustawodawstwo w zakresie wymiaru sprawiedliwości i spraw wewnętrznych., Як юрыдычная асоба [pl] можа заключаць дагаворы з краінамі і прымаць заканадаўства ў галіне правасуддзя і ўнутраных спраў., Як юридична особа [n] може укладати договори з країнами та приймати законодавство у сфері юстиції та внутрішніх справ., Като юридическо лице [n] е в състояние да сключва договори с държави и да приема законодателство в областта на правосъдието и вътрешните работи., Kot pravna oseba je [n] sposobno sklepati pogodbe z državami ter sprejemati zakonodajo na področju pravosodja in notranjih zadev., Jako právní subjekt může [f] uzavírat smlouvy se zeměmi a přijímat legislativu v oblasti spravedlnosti a vnitřních věcí.
564, The [???] operates through a hybrid system of supranationalism and intergovernmentalism., [m] действует через гибридную систему наднационализма и межправительственности., [m] działa poprzez hybrydowy system ponadnarodowości i międzyrządowości., [m] дзейнічае праз гібрыдную сістэму наднацыяналізму і міждзяржаўнасці., [m] діє через гібридну систему наднаціоналізму та міждержавності., [m] работи чрез хибридна система на наднационализъм и междуправителственост., [m] deluje po hibridnem sistemu nadnacionalizma in medvladnosti., [m] funguje prostřednictvím hybridního systému supranacionalismu a intergovernmentalismu.
565," The [???] uses its leadership role to sort out disputes between member states and the institutions, and to resolve political crises and disagreements over controversial issues and policies."," [m] использует свою руководящую роль для разрешения споров между государствами-членами и учреждениями, а также для разрешения политических кризисов и разногласий по спорным вопросам и политике.", [m] wykorzystuje swoją przywódczą rolę do rozwiązywania sporów między państwami członkowskimi i instytucjami oraz do rozwiązywania kryzysów politycznych i sporów dotyczących kontrowersyjnych kwestii i polityk.," [m] выкарыстоўвае сваю кіруючую ролю для вырашэння спрэчак паміж дзяржавамі-членамі і інстытутамі, а таксама для вырашэння палітычных крызісаў і рознагалоссяў па спрэчных пытаннях і палітыцы."," [m] використовує свою керівну роль для вирішення суперечок між державами-членами та установами, а також для вирішення політичних криз і розбіжностей щодо суперечливих питань і політики.", [m] използва своята лидерска роля за разрешаване на спорове между държавите-членки и институциите и за разрешаване на политически кризи и разногласия по спорни въпроси и политики., [m] uporablja svojo vodilno vlogo za reševanje sporov med državami članicami in institucijami ter za reševanje političnih kriz in nesoglasij glede spornih vprašanj in politik., [m] využívá svou vedoucí roli k řešení sporů mezi členskými státy a institucemi ak řešení politických krizí a neshod ohledně kontroverzních otázek a politik.
566," However in some areas the [???] does not have exclusive competence, it only plays a supporting role."," Однако в некоторых областях [n] не обладает исключительной компетенцией, оно играет лишь вспомогательную роль."," Jednak w niektórych obszarach [n] nie posiada wyłącznych kompetencji, odgrywa jedynie rolę wspierającą."," Аднак у некаторых сферах ""[n]"" не мае выключнай кампетэнцыі, яно адыгрывае толькі дапаможную ролю."," Однак у деяких сферах [n] не має виключної компетенції, воно відіграє лише допоміжну роль."," В някои области обаче [n] няма изключителна компетентност, то играе само поддържаща роля."," Vendar na nekaterih področjih [n] nima izključne pristojnosti, igra le podporno vlogo."," V některých oblastech však [f] nemá výhradní pravomoci, hraje pouze podpůrnou roli."
567, The [???] is based on a series of treaties., [m] основан на ряде договоров., [m] opiera się na serii traktatów., [m] заснаваны на шэрагу дагавораў., [m] заснований на низці договорів., [m] се основава на поредица от договори., [m] temelji na vrsti pogodb., [m] je založen na řadě smluv.
568, The [???] opposes the death penalty and promotes its world wide abolition., [m] выступает против смертной казни и выступает за ее отмену во всем мире., [m] sprzeciwia się karze śmierci i promuje jej zniesienie na całym świecie., [m] выступае супраць смяротнага пакарання і выступае за яго адмену ва ўсім свеце., [m] виступає проти смертної кари і сприяє її скасуванню в усьому світі., [m] се противопоставя на смъртното наказание и насърчава неговото премахване по целия свят., [m] nasprotuje smrtni kazni in spodbuja njeno odpravo po vsem svetu., [m] je proti trestu smrti a prosazuje jeho celosvětové zrušení.
569," By virtue of these powers, the [???] has enacted legislation on sexual discrimination in the work-place, age discrimination, and racial discrimination.","В силу этих полномочий [n] приняло законодательство о дискриминации по признаку пола на рабочем месте, дискриминации по возрасту и расовой дискриминации.","Na mocy tych uprawnień [n] uchwaliło ustawodawstwo dotyczące dyskryminacji seksualnej w miejscu pracy, dyskryminacji wiekowej i rasowej.","У сілу гэтых паўнамоцтваў ""[n]"" прыняло заканадаўства аб сексуальнай дыскрымінацыі на працоўным месцы, дыскрымінацыі па ўзросце і расавай дыскрымінацыі.","На підставі цих повноважень [n] прийняло законодавство про сексуальну дискримінацію на робочому місці, дискримінацію за віком та расову дискримінацію.","По силата на тези правомощия [n] е приело законодателство относно сексуалната дискриминация на работното място, възрастовата дискриминация и расовата дискриминация.","Na podlagi teh pooblastil je [n] sprejelo zakonodajo o spolni diskriminaciji na delovnem mestu, starostni in rasni diskriminaciji.","Na základě těchto pravomocí [f] uzákonila legislativu o sexuální diskriminaci na pracovišti, věkové diskriminaci a rasové diskriminaci."
570, Over the years the [???] has established a strong relationship with the UN., За прошедшие годы [m] установил прочные отношения с ООН., Przez lata [m] nawiązał silne relacje z ONZ., За гэтыя гады [m] усталяваў трывалыя адносіны з ААН., Протягом багатьох років [m] встановив міцні відносини з ООН., През годините [m] изгради силни отношения с ООН., Z leti je [m] vzpostavil močan odnos z ZN., V průběhu let [m] navázal silné vztahy s OSN.
571," Since its origin, the [???] has established a single economic market across the territory of all its members.", С момента своего возникновения [m] установил единый экономический рынок на территории всех своих членов., Od samego początku [m] ustanowił jednolity rynek gospodarczy na terytorium wszystkich swoich członków., З моманту свайго ўзнікнення [m] стварыў адзіны эканамічны рынак на тэрыторыі ўсіх яго членаў., З моменту свого виникнення [m] створив єдиний економічний ринок на території всіх його учасників., От създаването си [m] създаде единен икономически пазар на територията на всички свои членове., Od svojega nastanka je [m] vzpostavil enoten gospodarski trg na ozemlju vseh svojih članov., Od svého vzniku [m] vytvořil jednotný hospodářský trh na území všech svých členů.
