,pl,be,uk,ru,bg,sl,cs,en
695,"W wyniku tego współżycia i rozszerzonego kontaktu [???] wykształcił unikalne cechy kulturowe, które są zakorzenione w kulturze wszystkich społeczności założycielskich.","У выніку гэтага сумеснага пражывання і працяглых кантактаў [???] выпрацаваліся ўнікальныя культурныя рысы, якія караніцца ў культуры ўсіх суполак-заснавальнікаў.","В результаті такого співжиття та тривалого контакту [???] розвинулися унікальні культурні риси, які вкорінені в культурі всіх її спільнот-засновників.","В результате этого сожительства и расширенных контактов [???] развила уникальные культурные черты, которые уходят корнями в культуру всех ее сообществ-основателей.","В резултат на това съвместно съжителство и продължителен контакт, [???] е разработил уникални културни черти, които се коренят в културата на всички негови общности-основатели.","Kot rezultat tega sobivanja in daljših stikov je [???] razvil edinstvene kulturne lastnosti, ki so zakoreninjene v kulturi vseh njegovih ustanovitvenih skupnosti.","V důsledku tohoto soužití a rozšířeného kontaktu si [???] vyvinul jedinečné kulturní rysy, které jsou zakořeněny v kultuře všech jejích zakládajících komunit.","As a result of this cohabitation and extended contact, [???] has developed unique cultural traits that are rooted in the culture of all ofits founding communities."
696,"Niektóre stany unitarne (przykładem jest [???]) przekazują coraz większą władzę rządom na szczeblu niższym niż krajowy, dopóki państwo to nie będzie funkcjonować w praktyce podobnie do państwa federalnego.","Некаторыя ўнітарныя дзяржавы ([???] з'яўляецца прыкладам) перадаюць усё больш і больш паўнамоцтваў субнацыянальным урадам, пакуль дзяржава на практыцы не функцыянуе падобна федэратыўнай.","Деякі унітарні держави (приклад [???]) передають дедалі більше повноважень субнаціональним урядам, доки держава практично не буде функціонувати як федеративна держава.","Некоторые унитарные государства (например, [???]) передают все больше и больше полномочий субнациональным правительствам до тех пор, пока государство на практике не начнет функционировать почти как федеративное государство.","Някои унитарни държави ([???] е пример) прехвърлят все повече и повече правомощия на поднационални правителства, докато държавата функционира на практика подобно на федерална държава.","Nekatere enotne države ([???] je primer) prenašajo vse več pristojnosti na podnacionalne vlade, dokler država v praksi ne deluje podobno kot zvezna država.","Některé nečleněné státy ([???] je příkladem ) přenášejí stále více moci na subnárodní vlády, dokud stát nefunguje v praxi podobně jako federální stát.",Some unitary states ( [???] is an example ) devolve more and more power to sub-national governments until the state functions in practice much like a federal state.
697,"Jednak chociaż diamenty występują naturalnie, około 30% wszystkich diamentów przemysłowych wykorzystywanych w [???] jest obecnie wytwarzanych syntetycznie.","Аднак, хоць алмазы сустракаюцца ў прыродзе, каля 30% усіх прамысловых алмазаў, якія выкарыстоўваюцца ў [???], цяпер вырабляюцца сінтэтычным шляхам.","Однак, хоча алмази зустрічаються в природі, близько 30% усіх промислових алмазів, що використовуються в [???], зараз виготовляються синтетичним шляхом.","Однако, хотя алмазы встречаются в природе, около 30 % всех технических алмазов, используемых в [???], в настоящее время получают синтетическим путем.","Въпреки това, въпреки че диамантите се намират естествено, около 30% от всички промишлени диаманти, използвани в [???], сега са произведени синтетично.","Čeprav se diamanti nahajajo naravno, je približno 30 % vseh industrijskih diamantov, uporabljenih v [???], zdaj sintetično.","I když se diamanty vyskytují přirozeně, asi 30 % všech průmyslových diamantů používaných v [???] se nyní vyrábí synteticky.","However, though diamonds are found naturally, about 30 % of all industrial diamonds used in the [???] are now made synthetically."
698,"[???] może pochwalić się najbogatszą rurą diamentową, której produkcja osiągnęła szczytowy poziom 42 ton rocznie w latach 90. XX wieku.","[???] можа пахваліцца самай багатай дыямантавай трубкай з вытворчасцю, якая дасягнула пікавага ўзроўню ў 42 метрычныя тоны ў год у 1990-х гадах.","[???] може похвалитися найбагатшою діамантовою трубою, виробництво якої досягло піку в 42 метричні тонни на рік у 1990-х роках.","[???] может похвастаться самой богатой алмазоносной трубкой, производство которой достигло пикового уровня в 42 метрических тонны в год в 1990-х годах.","[???] може да се похвали с най-богатата диамантиферна тръба с производство, достигащо пикови нива от 42 метрични тона годишно през 90-те години.","[???] se ponaša z najbogatejšo diamantiferno cevjo s proizvodnjo, ki je v 90. letih prejšnjega stoletja dosegla najvišjo raven 42 ton na leto.",[???] se může pochlubit nejbohatší diamantovou trubkou s produkcí dosahující nejvyšší úrovně 42 metrických tun ročně v 90. letech.,[???] boasts the richest diamantiferous pipe with production reaching peak levels of 42 metric tons per year in the 1990s.
699,"Jeśli przyjmiemy [???] (około 750 ) jako środek, otrzymamy:","Калі мы возьмем [???] (каля 750 ) за цэнтр, мы знойдзем:","Якщо взяти [???] (близько 750 ) за центр, ми знайдемо:","Если мы возьмем [???] (около 750) в качестве центра, мы найдем:","Ако вземем [???] (около 750 ) като център, ще открием:","Če za središče vzamemo [???] (okoli 750 ), najdemo:","Vezmeme-li [???] (kolem 750) jako střed, najdeme:","If we take [???] ( around 750 ) as the centre, we find:"
700,"[???] to wyjątek, w którym wiara w fundamentalizm religijny z większym prawdopodobieństwem wpływa na postawy wobec ewolucji niż w przypadku wierzących gdzie indziej.","[???] з'яўляецца выключэннем, калі вера ў рэлігійны фундаменталізм значна часцей уплывае на стаўленне да эвалюцыі, чым для вернікаў у іншым месцы.","[???] є винятком, коли віра в релігійний фундаменталізм набагато частіше вплине на ставлення до еволюції, ніж для віруючих в інших країнах.","[???] является исключением, когда вера в религиозный фундаментализм с гораздо большей вероятностью повлияет на отношение к эволюции, чем для верующих в других местах.","[???] е изключението, при което вярата в религиозния фундаментализъм е много по-вероятно да повлияе на отношението към еволюцията, отколкото на вярващите другаде.","[???] je izjema, kjer vera v verski fundamentalizem veliko bolj verjetno vpliva na odnos do evolucije kot pri vernikih drugje.","[???] je výjimkou, kdy víra v náboženský fundamentalismus mnohem pravděpodobněji ovlivní postoje k evoluci, než je tomu u věřících jinde.",The [???] is the exception where belief in religious fundamentalism is much more likely to affect attitudes towards evolution than it is for believers elsewhere.
701,Pod koniec XIV wieku walki wewnętrzne i ataki zewnętrzne [???] rozdarły się.,Да канца XIV стагоддзя ўнутраная барацьба і знешнія напады разарвалі [???] на часткі.,До кінця чотирнадцятого століття внутрішня боротьба і зовнішні напади розірвали [???] на частини.,К концу четырнадцатого века внутренняя борьба и внешние атаки разорвали [???] на части.,До края на четиринадесети век вътрешните борби и външните атаки се разкъсват [???].,Do konca štirinajstega stoletja so se notranji boji in zunanji napadi raztrgali [???].,Do konce čtrnáctého století se vnitřní boje a vnější útoky roztrhaly [???] na kusy.,"By the end of the fourteenth century, internal struggles and external attacks had torn [???] apart."
702,[???] jest jednym z najbardziej skorumpowanych krajów na świecie.,[???] з'яўляецца адной з самых карумпаваных краін у свеце.,[???] є однією з найбільш корумпованих країн у світі.,[???] — одна из самых коррумпированных стран мира.,[???] е една от най-корумпираните държави в света.,[???] je ena najbolj korumpiranih držav na svetu.,[???] je jednou z nejzkorumpovanějších zemí na světě.,[???] is one of the most corrupt countries in the world.
703,[???] ma najwyższy wskaźnik używania prezerwatyw na świecie: w tym kraju prezerwatywy stanowią prawie 80% środków antykoncepcyjnych stosowanych przez zamężne kobiety.,[???] мае самы высокі ўзровень выкарыстання прэзерватываў у свеце: у гэтай краіне на прэзерватывы прыпадае амаль 80% сродкаў кантрацэпцыі замужнімі жанчынамі.,[???] має найвищий рівень використання презервативів у світі: у цій країні на презервативи припадає майже 80% засобів контрацепції заміжніми жінками.,[???] имеет самый высокий уровень использования презервативов в мире: в этой стране на презервативы приходится почти 80 % использования замужними женщинами средств контрацепции.,[???] има най-високия процент на използване на презервативи в света: в тази страна презервативите представляват почти 80% от използването на контрацептиви от омъжени жени.,[???] ima najvišjo stopnjo uporabe kondomov na svetu: v tej državi kondomi predstavljajo skoraj 80 % kontracepcijskih sredstev poročenih žensk.,[???] má nejvyšší míru používání kondomů na světě: v této zemi tvoří kondomy téměř 80 % antikoncepce užívané vdanými ženami.,"[???] has the highest rate of condom usage in the world : in that country, condoms account for almost 80 % of contraceptive use by married women."
704,Być może z powodu tego ograniczonego dostępu do antykoncepcji hormonalnej [???] ma najwyższy wskaźnik używania prezerwatyw na świecie: w 2008 roku 80% kobiet stosujących antykoncepcję polegało na prezerwatywach.,"Магчыма, з-за гэтага абмежаванага доступу да гарманальнай кантрацэпцыі [???] мае самы высокі ўзровень выкарыстання прэзерватываў у свеце: у 2008 годзе 80% карыстальнікаў кантрацэпцыі карысталіся прэзерватывамі.","Можливо, через цей обмежений доступ до гормональної контрацепції [???] має найвищий рівень використання презервативів у світі: у 2008 році 80% користувачів контрацептивів покладалися на презервативи.","Возможно, из-за этого ограниченного доступа к гормональной контрацепции [???] имеет самый высокий уровень использования презервативов в мире: в 2008 году 80% пользователей противозачаточных средств полагались на презервативы.",Може би поради този ограничен достъп до хормонална контрацепция [???] има най-високия процент на използване на презервативи в света: през 2008 г. 80 % от употребяващите контрацептиви са разчитали на презервативи.,Morda ima [???] zaradi tega omejenega dostopa do hormonske kontracepcije najvišjo stopnjo uporabe kondomov na svetu: leta 2008 se je 80 % uporabnic kontracepcije zanašalo na kondome.,Možná kvůli tomuto omezenému přístupu k hormonální antikoncepci má [???] nejvyšší míru používání kondomů na světě: v roce 2008 na kondomy spoléhalo 80 % uživatelů antikoncepce.,"Perhaps because of this restricted access to hormonal contraception, [???] has the highest rate of condom usage in the world : in 2008, 80 % of contraceptive users relied on condoms."
705,"[???] ma największą populację miejską na świecie, chociaż większość ludności nadal mieszka na obszarach wiejskich.","[???] мае найбольшую колькасць гарадскога насельніцтва ў свеце, хоць большая частка насельніцтва ўсё яшчэ жыве ў сельскай мясцовасці.","[???] має найбільше міське населення у світі, хоча більшість його населення все ще живе в сільській місцевості.","[???] имеет самое большое городское население в мире, хотя большая часть его населения по-прежнему проживает в сельской местности.","[???] има най-голямото градско население в света, въпреки че по-голямата част от населението му все още живее в селските райони.","[???] ima največje mestno prebivalstvo na svetu, čeprav večina njegovega prebivalstva še vedno živi na podeželju.","[???] má největší městskou populaci na světě, ačkoli většina její populace stále žije ve venkovských oblastech.",[???] has the largest urban population in the world although most ofits population still lives in rural areas.
706,"[???] zawiera zarówno miasta, jak i miasta, ale terminy „miasto” i „miasto” są uważane za synonimy.","[???] мае і пасёлкі, і гарады, але тэрміны «горад» і «горад» лічацца сінонімамі.","[???] має і міста, і міста, але терміни «місто» та «місто» вважаються синонімами.","[???] имеет и города, и города, но термины «город» и «город» считаются синонимами.","[???] има както градове, така и градове, но термините „град“ и „град“ се считат за синоними.","[???] ima tako mesta kot mesta, vendar izraza ""mesto"" in ""mesto"" veljata za sinonima.","[???] má města i města, ale termíny „město“ a „město“ jsou považovány za synonyma.","[???] has both towns and cities but the terms "" town "" and "" city "" are considered synonymous."
707,"[???] jest znany ze swoich żywych krajobrazów gór, równin, płaskowyżów i kanionów.","[???] адзначаны сваім яркім ландшафтам гор, раўнін, гор і каньёнаў.","[???] відзначається своїм яскравим ландшафтом гір, рівнин, гор і каньйонів.","[???] известен своим ярким пейзажем гор, равнин, плоскогорий и каньонов.","[???] е известен със своя ярък пейзаж от планини, равнини, гори и каньони.","[???] je znan po svoji živahni pokrajini gora, ravnin, mez in kanjonov.","[???] je známý svou živou krajinou hor, plání, stolových hor a kaňonů.","[???] is noted forits vivid landscape of mountains, plains, mesas, and canyons."
708,"W 2005 r. [???] miał szacunkową populację 4 665 177, co oznacza wzrost o 63 356 lub 1,4 % w stosunku do roku poprzedniego i wzrost o 363 162 lub 8,4 % od roku 2000.","Па стане на 2005 год [???] налічвае 4 665 177 чалавек, што на 63 356, або 1,4 %, у параўнанні з папярэднім годам і на 363 162, або 8,4 %, з 2000 года.","Станом на 2005 рік населення [???] становить приблизно 4 665 177 осіб, що на 63 356, або 1,4 %, порівняно з попереднім роком, і на 363 162, або 8,4 %, з 2000 року.","По состоянию на 2005 год население [???] оценивается в 4 665 177 человек, что на 63 356 человек, или 1,4 %, больше, чем в предыдущем году, и на 363 162 человека, или 8,4 %, по сравнению с 2000 годом.","Към 2005 г. [???] има приблизително население от 4 665 177, което е увеличение от 63 356, или 1,4 %, спрямо предходната година и увеличение от 363 162, или 8,4 %, от 2000 г.","Od leta 2005 ima [???] ocenjeno število prebivalcev 4.665.177, kar je povečanje za 63.356 ali 1,4 % glede na prejšnje leto in povečanje za 363.162 ali 8,4 % od leta 2000.","Od roku 2005 má [???] odhadovanou populaci 4 665 177, což je nárůst o 63 356 nebo 1,4 % oproti předchozímu roku a nárůst o 363 162 nebo 8,4 % od roku 2000.","As of 2005, [???] has an estimated population of 4,665,177, which is an increase of 63,356, or 1.4 %, from the prior year and an increase of 363,162, or 8.4 %, since the year 2000."
709,[???] jest ważnym ośrodkiem finansowym.,[???] з'яўляецца важным фінансавым цэнтрам.,[???] є важливим фінансовим центром.,[???] является важным финансовым центром.,[???] е важен финансов център.,[???] je pomembno finančno središče.,[???] je důležitým finančním centrem.,[???] is an important financial center.
710,"[???] ma zryczałtowany podatek dochodowy w wysokości 4,63 %, niezależnie od poziomu dochodów.","[???] мае адзіны падаходны падатак у памеры 4,63%, незалежна ад узроўню даходу.","[???] має фіксований податок на прибуток у розмірі 4,63 %, незалежно від рівня доходу.","[???] имеет фиксированный подоходный налог в размере 4,63%, независимо от уровня дохода.","[???] има плосък данък върху дохода от 4,63 %, независимо от нивото на дохода.","[???] ima pavšalno 4,63 % dohodnino, ne glede na višino dohodka.","[???] má pevnou daň z příjmu 4,63 % bez ohledu na výši příjmu.","[???] has a flat 4.63 % income tax, regardless of income level."
711,[???] posiada znaczne zasoby węglowodorów.,[???] мае значныя рэсурсы вуглевадародаў.,[???] має значні ресурси вуглеводнів.,[???] обладает значительными ресурсами углеводородов.,[???] има значителни въглеводородни ресурси.,[???] ima znatne vire ogljikovodikov.,[???] má významné zdroje uhlovodíků.,[???] has significant hydrocarbon resources.
712,"[???] jest uważany za stan wahadłowy zarówno w wyborach stanowych, jak i federalnych.","[???] лічыцца паваротным штатам як на дзяржаўных, так і на федэральных выбарах.","[???] вважається змінним штатом як на державних, так і на федеральних виборах.","[???] считается колеблющимся штатом как на выборах штата, так и на федеральных выборах.","[???] се счита за суинг щат както на щатските, така и на федералните избори.",[???] velja za nihajno državo tako na državnih kot na zveznih volitvah.,[???] je považován za swingový stát ve státních i federálních volbách.,[???] is considered a swing state in both state and federal elections.
713,"[???] jest podzielony na 64 powiaty, w tym dwa powiaty ze skonsolidowanymi władzami miejskimi i powiatowymi.","[???] падзелена на 64 акругі, у тым ліку два акругі з кансалідаванымі гарадскімі і акруговымі ўрадамі.","[???] поділено на 64 округи, включаючи два округи з об’єднаними міськими та окружними урядами.","[???] разделен на 64 округа, в том числе два округа с объединенными городскими и уездными органами власти.","[???] е разделен на 64 окръга, включително два окръга с консолидирани градски и окръжни правителства.","[???] je razdeljen na 64 okrožij, vključno z dvema okrožjema s konsolidiranimi mestnimi in okrožnimi vladami.","[???] je rozdělen do 64 krajů, včetně dvou krajů s konsolidovanou městskou a krajskou vládou.","[???] is divided into 64 counties, including two counties with consolidated city and county governments."
714,"Najstarsza z wysp, [???] ma najbogatszą glebę, a także dobre porty i lokalne populacje ryb, dzięki pierścieniowi raf koralowych.","Найстарэйшы з выспаў [???] мае самую багатую глебу, а таксама добрыя гавані і мясцовую папуляцыю рыб, дзякуючы кальцу каралавых рыфаў.","Найстаріший з островів [???] має найбагатший ґрунт, а також хороші гавані та місцеву популяцію риб, завдяки кільцю коралових рифів.","Самый старый из островов, [???] имеет самую богатую почву, а также хорошие гавани и местные популяции рыб благодаря кольцу коралловых рифов.","Най-старият от островите, [???] има най-богата почва, както и добри пристанища и местни рибни популации, поради своя пръстен от коралови рифове.",Najstarejši otok [???] ima zaradi obroča koralnih grebenov najbogatejšo zemljo ter dobra pristanišča in lokalno populacijo rib.,"Nejstarší z ostrovů [???] má nejbohatší půdu, stejně jako dobré přístavy a místní rybí populace, díky prstenci korálových útesů.","The oldest of the islands, [???] has the richest soil as well as good harbors and local fish populations, due toits ring of coral reefs."
715,"[???] jest obecnie jednym z najbardziej aktywnych wulkanów na świecie, z niewielką erupcją w maju 2006 r., a wcześniejsze erupcje miały miejsce w kwietniu 2005 i 1991 r.","[???] у цяперашні час з'яўляецца адным з самых актыўных вулканаў у свеце, з невялікім вывяржэннем у траўні 2006 года і папярэднімі вывяржэннямі ў красавіку 2005 і 1991 гадоў.","[???] на даний момент є одним з найактивніших вулканів у світі, з незначним виверженням у травні 2006 року та попередніми виверженнями у квітні 2005 та 1991 років.","[???] в настоящее время является одним из самых активных вулканов в мире, с небольшим извержением в мае 2006 года и предыдущими извержениями в апреле 2005 и 1991 годов.","[???] в момента е един от най-активните вулкани в света, с незначително изригване през май 2006 г. и предишни изригвания през април 2005 г. и 1991 г.","[???] je trenutno eden najbolj aktivnih vulkanov na svetu, z manjšim izbruhom maja 2006 in predhodnimi izbruhi aprila 2005 in 1991.","[???] je v současnosti jednou z nejaktivnějších sopek na světě, s menší erupcí v květnu 2006 a předchozími erupcemi až v dubnu 2005 a 1991.","[???] is currently one of the most active volcanoes in the world, with a minor eruption in May 2006, and prior eruptions as recently as April 2005 and 1991."
716,"[???] ma niewystarczający system transportu, młodą i szybko rosnącą populację oraz niewiele zasobów naturalnych.","[???] мае неадэкватную транспартную сістэму, маладое насельніцтва, якое хутка расце, і мала прыродных рэсурсаў.","[???] має неадекватну транспортну систему, молоде населення, яке швидко зростає, і мало природних ресурсів.","[???] имеет неадекватную транспортную систему, молодое и быстро растущее население и мало природных ресурсов.","[???] има неадекватна транспортна система, младо и бързо нарастващо население и малко природни ресурси.","[???] ima neustrezen prometni sistem, mlado in hitro naraščajoče prebivalstvo in malo naravnih virov.","[???] má nedostatečný dopravní systém, mladou a rychle rostoucí populaci a málo přírodních zdrojů.","[???] has an inadequate transportation system, a young and rapidly increasing population, and few natural resources."
717,"Z mniej niż milionem ludzi, [???] jest jednym z najmniej zaludnionych krajów na świecie, ale jest również jednym z najgęściej zaludnionych, ze średnią 275 mieszkańców na kilometr kwadratowy (710/mi2).","З менш чым мільёнам чалавек [???] з'яўляецца адной з найменш населеных краін у свеце, але таксама з'яўляецца адной з самых густанаселеных, у сярэднім 275 жыхароў на квадратны кіламетр (710 / кв.","З менш ніж мільйоном людей, [???] є однією з найменш густонаселених країн у світі, але також є однією з найбільш густонаселених, у середньому 275 жителів на квадратний кілометр (710 / кв.","С населением менее миллиона человек [???] является одной из наименее густонаселенных стран в мире, но также и одной из самых густонаселенных стран, в среднем 275 жителей на квадратный километр (710 / кв. Миль).","С по-малко от милион души, [???] е една от най-малко населените страни в света, но е и една от най-гъсто населените, със средно 275 жители на квадратен километър (710 /sq mi).","Z manj kot milijonom ljudi je [???] ena najmanj naseljenih držav na svetu, vendar je tudi ena najgosteje poseljenih, s povprečno 275 prebivalci na kvadratni kilometer (710 /sq mi).","S méně než milionem lidí je [???] jednou z nejméně zalidněných zemí na světě, ale je také jednou z nejhustěji osídlených, s průměrem 275 obyvatel na kilometr čtvereční (710 /sq mi).","With fewer than a million people, the [???] is one of the least populous countries in the world, but is also one of the most densely populated, with an average of 275 inhabitants per square kilometre ( 710 /sq mi )."
718,"Jednak [???] boryka się obecnie z wieloma innymi problemami, w tym z szybko starzejącą się populacją z powodu polityki jednego dziecka, pogłębiającą się luką dochodową między wsią a miastem oraz degradacją środowiska.","Аднак [???] цяпер сутыкаецца з шэрагам іншых праблем, уключаючы хуткае старэнне насельніцтва з-за палітыкі аднаго дзіцяці, павелічэнне разрыву ў даходах паміж вёскай і горадам і дэградацыяй навакольнага асяроддзя.","Однак [???] зараз стикається з низкою інших проблем, включаючи швидке старіння населення через політику однієї дитини, збільшення розриву в доходах між сільськими та міськими районами та погіршення стану навколишнього середовища.","Однако [???] в настоящее время сталкивается с рядом других проблем, включая быстрое старение населения из-за политики одного ребенка, увеличивающийся разрыв в доходах между сельскими и городскими районами и ухудшение состояния окружающей среды.","Въпреки това, [???] сега е изправен пред редица други проблеми, включително бързо застаряващото население поради политиката на едно дете, увеличаващата се разлика в доходите между селските и градските райони и влошаването на околната среда.","Vendar se [???] zdaj sooča s številnimi drugimi težavami, vključno s hitro starajočim se prebivalstvom zaradi politike enega otroka, naraščajočo vrzeljo v dohodku med podeželjem in mestom in degradacijo okolja.","[???] však nyní čelí řadě dalších problémů, včetně rychle stárnoucího obyvatelstva v důsledku politiky jednoho dítěte, prohlubování rozdílu v příjmech mezi venkovem a městem a zhoršování životního prostředí.","However, the [???] is now faced with a number of other problems including a rapidly aging population due to the one-child policy, a widening rural-urban income gap, and environmental degradation."
719,"Co więcej, [???] był krytykowany za łamanie praw człowieka przez rządy i organizacje pozarządowe oraz za posiadanie problematycznej historii ingerowania w wolność prasy.","Больш за тое, [???] падвяргаецца крытыцы за парушэнні правоў чалавека з боку ўрадаў і няўрадавых арганізацый, а таксама за тое, што ён мае праблемную рэпутацыю ўмяшання ў свабоду прэсы.","Більше того, [???] піддавався критиці за порушення прав людини з боку урядів і неурядових організацій, а також за те, що він має проблеми зі свободою преси.","Кроме того, [???] подвергается критике за нарушения прав человека со стороны правительств и неправительственных организаций, а также за сомнительную репутацию вмешательства в свободу прессы.","Освен това [???] е критикуван за нарушенията на човешките права от правителства и неправителствени организации и за това, че има проблематичен опит за намеса в свободата на печата.",Poleg tega je bil [???] kritiziran zaradi kršitev človekovih pravic s strani vlad in nevladnih organizacij ter zaradi problematičnega vmešavanja v svobodo tiska.,Kromě toho byla [???] kritizována za porušování lidských práv vládami a nevládními organizacemi a za problematické zasahování do svobody tisku.,"Moreover, [???] has been criticized forits human rights violations by governments and non-governmental organizations, and for having a problematic record of interfering with press freedom."
720,"[???] został scharakteryzowany jako potencjalne supermocarstwo przez wielu naukowców, analityków wojskowych oraz analityków polityki publicznej i ekonomii.","[???] шэраг навукоўцаў, ваенных аналітыкаў, а таксама аналітыкаў дзяржаўнай палітыкі і эканомікі характарызавалі як патэнцыйную звышдзяржаву.","[???] був охарактеризований як потенційна наддержава низкою вчених, військових аналітиків, а також аналітиків державної політики та економіки.","[???] был охарактеризован как потенциальная сверхдержава многими учеными, военными аналитиками, а также аналитиками государственной политики и экономики.","[???] е характеризиран като потенциална суперсила от редица учени, военни анализатори и анализатори на публичната политика и икономика.","[???] so številni akademiki, vojaški analitiki ter analitiki javne politike in ekonomije označili za potencialno velesilo.","[???] byl charakterizován jako potenciální supervelmoc řadou akademiků, vojenských analytiků a analytiků veřejné politiky a ekonomiky.","[???] has been characterized as a potential superpower by a number of academics, military analysts, and public policy and economics analysts."
721,Obawy polityczne w [???] obejmują zmniejszenie rosnącej przepaści między bogatymi i biednymi oraz walkę z korupcją w kierownictwie rządu.,Палітычныя праблемы ў [???] ўключаюць памяншэнне расце разрыву паміж багатымі і беднымі і барацьбу з карупцыяй у кіраўніцтве ўрада.,Політичні проблеми в [???] включають зменшення зростаючого розриву між багатими та бідними та боротьбу з корупцією в керівництві уряду.,Политические проблемы в [???] включают сокращение растущего разрыва между богатыми и бедными и борьбу с коррупцией в руководстве правительства.,Политическите опасения в [???] включват намаляване на нарастващата разлика между богати и бедни и борба с корупцията в правителственото ръководство.,Politični pomisleki v [???] vključujejo zmanjševanje naraščajočega prepada med bogatimi in revnimi ter boj proti korupciji v vladnem vodstvu.,Politické zájmy v [???] zahrnují zmenšování rostoucí propasti mezi bohatými a chudými a boj proti korupci ve vládním vedení.,Political concerns in the [???] include lessening the growing gap between rich and poor and fighting corruption within the government leadership.
722,[???] utrzymuje stosunki dyplomatyczne z większością głównych krajów świata.,[???] падтрымлівае дыпламатычныя адносіны з большасцю буйных краін свету.,[???] підтримує дипломатичні відносини з більшістю великих країн світу.,[???] поддерживает дипломатические отношения с большинством крупных стран мира.,[???] поддържа дипломатически отношения с повечето големи страни в света.,[???] vzdržuje diplomatske odnose z večino večjih držav na svetu.,[???] udržuje diplomatické styky s většinou hlavních zemí světa.,[???] maintains diplomatic relations with most major countries in the world.
723,"[???] jest światowym liderem w wykonywaniu kary śmierci, odpowiadając za około 90% wszystkich egzekucji w 2004 r.","[???] лідзіруе ў свеце па смяротнай кары, на яе долю прыпадала прыкладна 90% ад агульнай колькасці пакараных у 2004 годзе.","[???] лідирує у світі за смертною карою, на нього припадає приблизно 90% загального числа страт у 2004 році.","[???] лидирует в мире по смертной казни, на ее долю приходится примерно 90 % от общего числа казней в 2004 году.","[???] е начело в света по смъртно наказание, с около 90 % от общите екзекуции през 2004 г.","[???] je vodilni v svetu na področju smrtne kazni, saj je leta 2004 predstavljal približno 90 % vseh usmrtitev.","[???] vede svět v oblasti trestu smrti, což představuje zhruba 90 % celkových poprav v roce 2004.","[???] leads the world in capital punishment, accounting for roughly 90 % of total executions in 2004."
724,"[???] ma granicę lądową o długości 22 117 km, największą na świecie.","[???] мае сухапутную мяжу 22 117 км, найбуйнейшую ў свеце.","[???] має сухопутний кордон довжиною 22 117 км, найбільший у світі.","[???] имеет сухопутную границу протяженностью 22 117 км, самую большую в мире.","[???] има сухопътна граница от 22 117 км, най-голямата в света.","[???] ima kopensko mejo 22.117 km, največjo na svetu.","[???] má pozemní hranici 22 117 km, největší na světě.","[???] has a land border of 22,117 km, the largest in the world."
725,Południe [???] jest zdominowane przez pagórkowate i niskie pasma górskie.,На поўдні [???] пераважаюць пагоркі і нізкія горныя хрыбты.,На півдні [???] переважають пагорби та низькі гірські хребти.,На юге [???] преобладают холмистая местность и невысокие горные хребты.,Южна [???] е доминирана от хълмиста местност и ниски планински вериги.,Na jugu [???] prevladujejo hribovite dežele in nizke gorske verige.,Na jihu [???] dominují pahorkatiny a nízké pohoří.,Southern [???] is dominated by hill country and low mountain ranges.
726,[???] traci milion akrów rocznie z powodu pustynnienia.,[???] губляе мільён гектараў у год з-за апустыньвання.,[???] втрачає мільйон акрів на рік через опустелювання.,[???] теряет миллион акров в год из-за опустынивания.,[???] губи милион акра годишно заради опустиняването.,[???] zaradi dezertifikacije izgublja milijon hektarjev na leto.,[???] ztrácí milion akrů ročně kvůli desertifikaci.,[???] is losing a million acres per year to desertification.
727,"[???] ma klimat zdominowany głównie przez pory suche i mokre monsuny, co prowadzi do różnic temperatur zimą i latem.","[???] мае клімат, у якім пераважна пераважаюць сухія сезоны і вільготныя мусоны, што прыводзіць да розніцы тэмператур зімой і летам.","[???] має клімат, у якому переважно переважають сухі сезони та вологі мусони, що призводить до перепадів температур взимку та влітку.","[???] имеет климат, в котором преобладают сухие сезоны и влажные муссоны, что приводит к разнице температур зимой и летом.","[???] има климат, доминиран предимно от сухи сезони и влажни мусони, което води до температурни разлики през зимата и лятото.","[???] ima podnebje, v katerem pretežno prevladujejo suhi letni časi in mokri monsuni, kar vodi do temperaturnih razlik pozimi in poleti.","[???] má klima, kterému dominují především období sucha a vlhké monzuny, což vede k teplotním rozdílům v zimě a v létě.","[???] has a climate mainly dominated by dry seasons and wet monsoons, which leads to temperature differences in winter and summer."
728,[???] zawiera również różnorodne typy lasów.,[???] змяшчае таксама мноства тыпаў лясоў.,[???] містить також різноманітні типи лісів.,[???] содержит также множество типов леса.,[???] съдържа също разнообразие от видове гори.,[???] vsebuje tudi različne vrste gozdov.,[???] obsahuje také různé typy lesů.,[???] contains also a variety of forest types.
