,pl,be,uk,ru,bg,sl,cs
761,Trondheim,Тронхейм,Тронгейм,Тронхейм,Тронхайм,Trondheim,Trondheim
762,Bergen,Берген,Берген,Берген,Берген,Bergen,Bergen
764,Odense,Одэнсэ,Оденсе,Оденсе,Оденсе,Odense,Odense
765,Aarhus,Орхус,Орхус,Орхус,Орхус,Aarhus,Aarhus
767,Tartu,Тарту,Тарту,Тарту,Тарту,Tartu,Tartu
768,Samarkanda,Самарканд,Самарканд,Самарканд,Самарканд,Samarkand,Samarkand
769,Oulu,Оўлу,Оулу,Оулу,Оулу,Oulu,Oulu
770,Jurmała,Юрмала,Юрмала,Юрмала,Юрмала,Jūrmala,Jūrmala
771,Buchara,Бухара,Бухара,Бухара,Бухара,Buhara,Buchara
772,Akureyri,Акурэйры,Акурейрі,Акюрейри,Акюрейри,Akureyri,Akureyri
773,Kópavogur,Коўпавагур,Коупавогюр,Коупавогюр,Коупавогюр,Kópavogur,Kópavogur
774,Hafnarfjörður,Хабнарфіёрдур,Гапнарф'єрдюр,Хабнарфьордюр,Хапнарфьордюр,Hafnarfjörður,Hafnarfjörður
775,Sarow,Сароў,Саров,Саров,Саров,Sarov,Sarov
776,Puszkin,Пушкін,Пушкін,Пушкин,Пушкин,"Puškin, Sankt Peterburg",Puškin
777,Graz,Грац,Ґрац,Грац,Грац,Gradec,Štýrský Hradec
778,Linz,Лінц,Лінц,Линц,Линц,Linz,Linec
779,Kronsztad,Кранштат,Кронштадт,Кронштадт,Кронщат,Kronštat,Kronštadt
780,Peterhof,Пецяргоф,Петергоф,Петергоф,Петерхоф,Petergof,Petrodvorec
782,Sivas,Сівас,Сівас,Сивас,Сивас,Sivas,Sivas
783,Hattusa,Хатуса,Хаттуса,Хаттуса,Хатуша,Hatuša,Chattušaš
786,Safranbolu,Сафранбалу,Сафранболу,Сафранболу,Сафранболу,Safranbolu,Safranbolu
787,Donieck,Данецк,Донецьк,Донецк,Донецк,Doneck,Doněck
793,Los Angeles,Лос-Анджэлес,Лос-Анджелес,Лос-Анджелес,Лос Анджелис,Los Angeles,Los Angeles
796,Coventry,Ковентры,Ковентрі,Ковентри,Ковънтри,Coventry,Coventry
797,Seattle,Сіэтл,Сіетл,Сиэтл,Сиатъл,"Seattle, Washington",Seattle
798,Grenada,Грэнада,Гренада,Гренада,Гренада,Grenada,Grenada
799,Hongkong,Ганконг,Гонконг,Гонконг,Хонконг,Hongkong,Hongkong
800,Kapsztad,Кейптаўн,Кейптаун,Кейптаун,Кейптаун,Cape Town,Kapské Město
801,Braszów,Брашоў,Брашов,Брашов,Брашов,Brașov,Brašov
803,Kioto,Кіёта,Кіото,Киото,Киото,Kjoto,Kjóto
805,Komory,Каморскія Астравы,Коморські Острови,Коморы,Коморски острови,Komori,Komory
806,Ulm,Ульм,Ульм,Ульм,Улм,Ulm,Ulm
807,Togo,Тога,Того,Того,Того,Togo,Togo
809,Nikita Chruszczow,Мікіта Сяргеевіч Хрушчоў,Хрущов Микита Сергійович,"Хрущёв, Никита Сергеевич",Никита Хрушчов,Nikita Hruščov,Nikita Sergejevič Chruščov
810,Wuhan,Ухань,Ухань,Ухань,Ухан,Vuhan,Wu-chan
811,Włodzimierz,Уладзімір,Владимир,Владимир,Владимир,"Vladimir, Rusija",Vladimir
812,Powstanie listopadowe,Паўстанне 1830—1831 гадоў,Листопадове повстання,Польское восстание,Полско въстание,Novembrska vstaja,Listopadové povstání
813,Kayseri,Кайсеры,Кайсері,Кайсери,Кайсери,Kayseri,Kayseri
815,Lagos,Лагас,Лагос,Лагос,Лагос,Lagos,Lagos
818,Saint John’s,Сент-Джонс,Сент-Джонс,Сент-Джонс,Сейнт Джонс,St. John's,Saint John's
819,Lew Trocki,Леў Давідавіч Троцкі,Троцький Лев Давидович,"Троцкий, Лев Давидович",Лев Троцки,Lev Trocki,Lev Davidovič Trockij
820,Saint-Pierre i Miquelon,Сен-П’ер і Мікелон,Сен-П'єр і Мікелон,Сен-Пьер и Микелон,Сен Пиер и Микелон,Saint Pierre in Miquelon,Saint Pierre a Miquelon
821,San Francisco,Сан-Францыска,Сан-Франциско,Сан-Франциско,Сан Франциско,San Francisco,San Francisco
822,Mikronezja,Федэратыўныя Штаты Мікранезіі,Федеративні Штати Мікронезії,Федеративные Штаты Микронезии,Микронезия,Federativne države Mikronezije,Federativní státy Mikronésie
823,Fidżi,Фіджы,Фіджі,Фиджи,Фиджи,Fidži,Fidži
824,Miasta w Turcji,Гарады Турцыі,Міста Туреччини,Список населённых пунктов Турции,Списък на градовете в Турция,Seznam mest v Turčiji,Seznam měst v Turecku
826,Izmir,Ізмір,Ізмір,Измир,Измир,İzmir,Smyrna
829,Dili,Дылі,Ділі,Дили,Дили,Dili,Dili
830,Houston,Х’юстан,Х'юстон,Хьюстон,Хюстън,"Houston, Teksas",Houston
834,Dodoma,Дадома,Додома,Додома,Додома,Dodoma,Dodoma
836,Bursa,Бурса,Бурса,Бурса,Бурса,Bursa,Bursa
837,Jarosław,Яраслаўль,Ярославль,Ярославль,Ярославъл,Jaroslavelj,Jaroslavl
839,Chicago,Чыкага,Чикаго,Чикаго,Чикаго,Chicago,Chicago
841,Szlisselburg,Шлісельбург,Шліссельбург,Шлиссельбург,Шлиселбург,Šlisselburg,Šlisselburg
843,Senegal,Сенегал,Сенегал,Сенегал,Сенегал,Senegal,Senegal
845,Keflavík,Кеблавік,Кеплавік,Кеблавик,Кеплавик,Keflavík,Keflavík
848,Miasta w Polsce,Гарады Польшчы,Міста Польщі,Города Польши,Списък на градовете в Полша,Seznam mest na Poljskem,Seznam měst v Polsku
849,Katowice,Катавіцы,Катовиці,Катовице,Катовице,Katovice,Katovice
851,Tours,Тур,Тур,Тур,Тур,Tours,Tours
852,Gdynia,Гдыня,Гдиня,Гдыня,Гдиня,Gdynia,Gdyně
854,Opole,Аполе,Ополе,Ополе,Ополе,Opole,Opolí
855,Olsztyn,Ольштын,Ольштин,Ольштын,Олщин,Olsztyn,Olsztyn
856,Linia Curzona,Лінія Керзана,Лінія Керзона,Линия Керзона,Линия „Кързън“,Curzonova linija,Curzonova linie
857,Isfahan,Ісфахан,Ісфаган,Исфахан,Исфахан,Isfahan,Isfahán
859,Wyspy Kokosowe,Какосавыя астравы,Кокосові острови,Кокосовые острова,Кокосови острови,Kokosovi otoki,Kokosové ostrovy
862,Lyon,Ліён,Ліон,Лион,Лион,Lyon,Lyon
863,Chamonix-Mont-Blanc,Шамані,Шамоні,Шамони-Мон-Блан,Шамони,Chamonix,Chamonix-Mont-Blanc
865,Adana,Адана,Адана,Адана,Адана,Adana,Adana
866,Gaziantep,Газіянтэп,Газіантеп,Газиантеп,Газиантеп,Gaziantep,Gaziantep
867,Konya,Конья,Конья,Конья,Кония,Konya,Konya
868,Reunion,Рэюньён,Реюньйон,Реюньон,Реюнион,Reunion,Réunion
869,Salt Lake City,Солт-Лэйк-Сіці,Солт-Лейк-Сіті,Солт-Лейк-Сити,Солт Лейк Сити,Salt Lake City,Salt Lake City
870,Galacja,Галатыя,Галатія,Галатия,Галатия,Galatija,Galacie
871,Język węgierski,Венгерская мова,Угорська мова,Венгерский язык,Унгарски език,Madžarščina,Maďarština
872,Durrës,Дурэс,Дуррес,Дуррес,Драч,Drač,Drač
874,Niemiecka Republika Demokratyczna,ГДР,Німецька Демократична Республіка,Германская Демократическая Республика,Германска демократична република,Nemška demokratična republika,Německá demokratická republika
876,Pernik,Пернік,Перник,Перник,Перник,Pernik,Pernik
877,Falklandy,Фалклендскія астравы,Фолклендські Острови,Фолклендские острова,Фолкландски острови,Falklandski otoki,Falklandy
878,Podole,Падолле,Поділля,Подолье,Подолие,Podolje,Podolí
879,Iwano-Frankiwsk,Івана-Франкоўск,Івано-Франківськ,Ивано-Франковск,Ивано-Франкивск,Ivano-Frankivsk,Ivano-Frankivsk
880,Władimir Wiernadski,Уладзімір Іванавіч Вярнадскі,Вернадський Володимир Іванович,"Вернадский, Владимир Иванович",Владимир Вернадски,Vladimir Ivanovič Vernadski,Vladimir Ivanovič Vernadskij
881,Addis Abeba,Адыс-Абеба,Аддис-Абеба,Аддис-Абеба,Адис Абеба,Adis Abeba,Addis Abeba
883,Gwinea Bissau,Гвінея-Бісау,Гвінея-Бісау,Гвинея-Бисау,Гвинея-Бисау,Gvineja Bissau,Guinea-Bissau
887,Wiktor Janukowycz,Віктар Фёдаравіч Януковіч,Янукович Віктор Федорович,"Янукович, Виктор Фёдорович",Виктор Янукович,Viktor Janukovič,Viktor Janukovyč
889,Ławra Peczerska,Кіева-Пячэрская лаўра,Києво-Печерська лавра,Киево-Печерская лавра,Киевско-Печорска лавра,Kijevsko-Pečerska lavra,Kyjevskopečerská lávra
890,Karaman,Караман,Караман,Караман,Караман,Karaman,Karaman
891,Edirne,Эдзірне,Едірне,Эдирне,Одрин,Odrin,Edirne
897,Mazar-i Szarif,Мазары-Шарыф,Мазарі-Шариф,Мазари-Шариф,Мазари Шариф,Mazar-e Šarif,Mazáre Šeríf
898,Nicea,Ніца,Ніцца,Ницца,Ница,Nica,Nice
900,Vicenza,Вінчэнца,Віченца,Виченца,Виченца,Vicenza,Vicenza
902,Tarsus,Тарсус,Тарс,Тарсус,Тарс,Tarz,Tarsus
904,Sana,Сана,Сана,Сана,Сана,Sana,San'á
905,Erzurum,Эрзурум,Ерзурум,Эрзурум,Ерзурум,Erzurum,Erzurum
906,Şanlıurfa,Шанлыурфа,Шанлиурфа,Шанлыурфа,Шанлъурфа,Şanlıurfa,Şanlıurfa
908,Denizli,Дэнізлі,Денізлі,Денизли,Денизли,Denizli,Denizli
909,Diyarbakır,Дыярбакыр,Діярбакир,Диярбакыр,Диарбекир,Diyarbakır,Diyarbakır
910,Antalya,Анталья,Анталія,Анталья,Анталия,Antalya,Antalya
915,Gandawa,Гент,Гент,Гент,Гент,Gent,Gent
916,Isengard,Ізенгард,Ісенґард,Изенгард,Исенгард,Ajzengart,Železný pas
917,Gondor,Гондар,Ґондор,Гондор,Гондор,Gondor,Gondor
919,Ługańsk,Луганск,Луганськ,Луганск,Луганск,Lugansk,Luhansk
920,Obwód chersoński,Херсонская вобласць,Херсонська область,Херсонская область,Херсонска област,Hersonska oblast,Chersonská oblast
921,Chersoń,Херсон,Херсон,Херсон,Херсон,"Herson, Ukrajina",Cherson
923,Mérida,Мерыда,Мерида,Мерида,Мерида,"Mérida, Venezuela",Mérida
924,Adelaide,Адэлаіда,Аделаїда,Аделаида,Аделейд,Adelaide,Adelaide
929,Oksford,Оксфард,Оксфорд,Оксфорд,Оксфорд,Oxford,Oxford
931,Królestwo Anglii,Каралеўства Англія,Королівство Англія,Королевство Англия,Кралство Англия,Kraljevina Anglija,Anglické království
933,Glasgow,Глазга,Глазго,Глазго,Глазгоу,Glasgow,Glasgow
934,Mannheim,Мангейм,Мангайм,Мангейм,Манхайм,Mannheim,Mannheim
935,Tonga,Тонга,Тонга,Тонга,Тонга,Tonga,Tonga
936,Al-Ujun,Эль-Аюн,Ель-Аюн,Эль-Аюн,Аюн,Laayoune,Al-´Ajún
937,Gujana Francuska,Французская Гвіяна,Французька Гвіана,Гвиана,Френска Гвиана,Francoska Gvajana,Francouzská Guyana
938,Mońki,Монькі,Моньки,Моньки,Монки,Mońki,Mońki
940,Seszele,Сейшэльскія Астравы,Сейшельські Острови,Сейшельские Острова,Сейшели,Sejšeli,Seychely
941,Cuzco,Куска,Куско,Куско,Куско,Cusco,Cuzco
943,Borgarnes,Боргарнес,Боргарнес,Боргарнес,Боргарнес,Borgarnes,Borgarnes
944,Las Vegas,Лас-Вегас,Лас-Вегас,Лас-Вегас,Лас Вегас,Las Vegas,Las Vegas
947,Pretoria,Прэторыя,Преторія,Претория,Претория,Pretorija,Pretorie
948,Bloemfontein,Блумфантэйн,Блумфонтейн,Блумфонтейн,Блумфонтейн,Bloemfontein,Bloemfontein
949,Santa Cruz de Tenerife,Санта-Крус-дэ-Тэнэрыфэ,Санта-Крус-де-Тенерифе,Санта-Крус-де-Тенерифе,Санта Крус де Тенерифе,Santa Cruz de Tenerife,Santa Cruz de Tenerife
950,Antyle Holenderskie,Нідэрландскія Антыльскія астравы,Нідерландські Антильські острови,Нидерландские Антильские острова,Нидерландски Антили,Nizozemski Antili,Nizozemské Antily
951,Bermudy,Бермудскія астравы,Бермудські Острови,Бермудские Острова,Бермудски острови,Bermudi,Bermudy
952,Jamusukro,Ямусукра,Ямусукро,Ямусукро,Ямусукро,Yamoussoukro,Yamoussoukro
957,Bonn,Бон,Бонн,Бонн,Бон,Bonn,Bonn
960,Frankfurt nad Odrą,Франкфурт-на-Одэры,Франкфурт-на-Одері,Франкфурт-на-Одере,Франкфурт на Одер,Frankfurt ob Odri,Frankfurt nad Odrou
961,Moguncja,Майнц,Майнц,Майнц,Майнц,Mainz,Mohuč
962,Wiesbaden,Вісбадэн,Вісбаден,Висбаден,Висбаден,Wiesbaden,Wiesbaden
963,Erfurt,Эрфурт,Ерфурт,Эрфурт,Ерфурт,Erfurt,Erfurt
964,Osnabrück,Оснабрук,Оснабрюк,Оснабрюк,Оснабрюк,Osnabrück,Osnabrück
965,Koblencja,Кобленц,Кобленц,Кобленц,Кобленц,Koblenz,Koblenz
966,Marburg,Марбург,Марбург,Марбург,Марбург,Marburg,Marburg
967,Magdeburg,Магдэбург,Магдебург,Магдебург,Магдебург,Magdeburg,Magdeburg
969,Brno,Брно,Брно,Брно,Бърно,Brno,Brno
970,Tabor,Табар,Табор,Табор,Табор,Tábor,Tábor
971,Poczdam,Патсдам,Потсдам,Потсдам,Потсдам,Potsdam,Postupim
972,Wetzlar,Вецлар,Вецлар,Вецлар,Вецлар,Wetzlar,Wetzlar
973,Bazylea,Базель,Базель,Базель,Базел,Basel,Basilej
974,Rostock,Ростак,Росток,Росток,Росток,Rostock,Rostock
976,Rohan,Рохан,Роган,Рохан,Рохан,Rohan,Rohan
978,Stara Ładoga,Старая Ладага,Стара Ладога,Старая Ладога,Стара Ладога,Stara Ladoga,Staraja Ladoga
980,São Tomé,Сан-Тамэ,Сан-Томе,Сан-Томе,Сао Томе,São Tomé,São Tomé
983,Perugia,Перуджа,Перуджа,Перуджа,Перуджа,Perugia,Perugia
985,Anguilla,Ангілья,Ангілья,Ангилья,Ангила,Angvila,Anguilla
986,Hiroszima,Хірасіма,Хіросіма,Хиросима,Хирошима,Hirošima,Hirošima
987,Arusza,Аруша,Аруша,Аруша,Аруша,Aruša,Arusha
989,Chichén Itzá,Чычэн-Іца,Чичен-Іца,Чичен-Ица,Чичен Ица,Chichen Itza,Chichén Itzá
990,Kercz,Керч,Керч,Керчь,Керч,Kerč,Kerč
991,Wieluń,Велюнь,Велюнь,Велюнь,Велюн,Wieluń,Wieluń
992,Gorzów Wielkopolski,Гожаў Велькапольскі,Ґожув-Велькопольський,Гожув-Велькопольски,Гожов Велкополски,Gorzów Wielkopolski,Gorzów Wielkopolski
994,Al-Bajda,Аль-Байда,Ель-Бейда,Эль-Байда,Ал Байда,Al Bajda,Bajdá
995,Makau,Макаа,Макао,Макао,Макао,Macau,Macao
996,Toledo,Таледа,Толедо,Толедо,Толедо,Toledo,Toledo
997,Giza,Гіза,Гіза,Эль-Гиза,Гиза,Giza,Gíza
998,Luksor,Луксор,Луксор,Луксор,Луксор,Luksor,Luxor
999,Malmö,Мальмё,Мальме,Мальмё,Малмьо,Malmö,Malmö
1000,Fez,Фес,Фес,Фес,Фес,"Fes, Maroko",Fes
1001,Tenochtitlán,Тэначтытлан,Теночтітлан,Теночтитлан,Теночтитлан,Tenochtitlan,Tenochtitlán
1002,Osz,Ош,Ош,Ош,Ош,Oš,Oš
1003,Szawle,Шаўляй,Шяуляй,Шяуляй,Шауляй,Šiauliai,Šiauliai
1004,Columbus,Калумбус,Колумбус,Колумбус,Кълъмбъс,"Columbus, Ohio",Columbus
1006,Marsala,Марсала,Марсала,Марсала,Марсала,Marsala,Marsala
1007,Paro,Паро,Паро,Паро,Паро,"Paro, Butan",Paro
1008,Riazań,Разань,Рязань,Рязань,Рязан,Rjazan,Rjazaň
1011,Kasimow,Касімаў,Касимов,Касимов,Касимов,Kasimov,Kasimov
1012,Haapsalu,Хаапсалу,Хаапсалу,Хаапсалу,Хаапсалу,Haapsalu,Haapsalu
1015,Tatarzy krymscy,Крымскія татары,Кримські татари,Крымские татары,Кримски татари,Krimski Tatari,Krymští Tataři
1016,Brugia,Бругэ,Брюгге,Брюгге,Брюге,Brugge,Bruggy
1017,Honiara,Ханіяра,Хоніара,Хониара,Хониара,Honiara,Honiara
1018,Stavanger,Ставангер,Ставангер,Ставангер,Ставангер,Stavanger,Stavanger
1019,Georgetown,Джорджтаўн,Джорджтаун,Джорджтаун,Джорджтаун,"Georgetown, Gvajana",Georgetown
1020,Kaługa,Калуга,Калуга,Калуга,Калуга,Kaluga,Kaluga
1021,Vadsø,Вадсё,Вадсьо,Вадсё,Вадсьо,Vadsø,Vadsø
1022,Obninsk,Обнінск,Обнінськ,Обнинск,Обнинск,Obninsk,Obninsk
1024,La Défense,Дэфанс,Дефанс,Дефанс,Дефанс,La Défense,La Défense
1025,Chartres,Шартр,Шартр,Шартр,Шартър,Chartres,Chartres
1026,Walencja,Валенсія,Валенсія,Валенсия,Валенсия,Valencija,Valencie
1027,Tuluza,Тулуза,Тулуза,Тулуза,Тулуза,Toulouse,Toulouse
1028,Zatoka Biskajska,Біскайскі заліў,Біскайська затока,Бискайский залив,Бискайски залив,Biskajski zaliv,Biskajský záliv
1029,Zatoka Neapolitańska,Неапалітанскі заліў,Неаполітанська затока,Неаполитанский залив,Неаполски залив,Neapeljski zaliv,Neapolský záliv
1030,Hobart,Хобарт,Гобарт,Хобарт,Хобарт,Hobart,Hobart
1031,Darwin,Дарвін,Дарвін,Дарвин,Дарвин,Darwin,Darwin
1034,Sewilla,Севілья,Севілья,Севилья,Севиля,Sevilja,Sevilla
1038,Turks i Caicos,Цёркс і Кайкас,Острови Теркс і Кайкос,Теркс и Кайкос,Търкс и Кайкос,Otoki Turks in Caicos,Turks a Caicos
1039,Montpellier,Манпелье,Монпельє,Монпелье,Монпелие,Montpellier,Montpellier
1040,Giumri,Гюмры,Ґюмрі,Гюмри,Гюмри,Gjumri,Gjumri
1042,Ugarit,Угарыт,Угарит,Угарит,Угарит,Ugarit,Ugarit
1043,Cork,Корк,Корк,Корк,Корк,Cork,Cork
1045,Mariany Północne,Паўночныя Марыянскія астравы,Північні Маріанські Острови,Северные Марианские Острова,Северни Мариански острови,Severni Marijanski otoki,Severní Mariany
1046,Siena,Сіена,Сієна,Сиена,Сиена,Siena,Siena
1047,Padwa,Падуя,Падуя,Падуя,Падуа,Padova,Padova
1048,Werona,Верона,Верона,Верона,Верона,Verona,Verona
1049,Asyż,Асізі,Ассізі,Ассизи,Асизи,Assisi,Assisi
1051,Triest,Трыест,Трієст,Триест,Триест,Trst,Terst
1056,Rouen,Руан,Руан,Руан,Руан,Rouen,Rouen
1057,Edmonton,Эдмантан,Едмонтон,Эдмонтон,Едмънтън,Edmonton,Edmonton
1058,Łeonid Kuczma,Леанід Данілавіч Кучма,Кучма Леонід Данилович,"Кучма, Леонид Данилович",Леонид Кучма,Leonid Kučma,Leonid Kučma
1059,Managua,Манагуа,Манагуа,Манагуа,Манагуа,Managua,Managua
1060,Lhasa,Лхаса,Лхаса,Лхаса,Лхаса,Lasa,Lhasa
1063,Szetlandy Południowe,Паўднёвыя Шэтландскія астравы,Південні Шетландські острови,Южные Шетландские острова,Южни Шетландски острови,Južni Shetlandski otoki,Jižní Shetlandy
1064,Medyna,Медына,Медина,Медина,Медина,Medina,Medína
1065,Cannes,Каны,Канни,Канны,Кан,Cannes,Cannes
1066,Tulon,Тулон,Тулон,Тулон,Тулон,Toulon,Toulon
1067,Akwizgran,Ахен,Аахен,Ахен,Аахен,Aachen,Cáchy
1068,Lillehammer,Лілехамер,Ліллегаммер,Лиллехаммер,Лилехамер,Lillehammer,Lillehammer
1069,Steinkjer,Стэйнх’ер,Стейнг'єр,Стейнхьер,Стайнхер,Steinkjer,Steinkjer
1070,Leikanger,Лейкангер,Лейканґер,Лейкангер,Лейкангер,Leikanger,Leikanger
1071,Arendal,Арэндал,Арендал,Арендал,Арендал,Arendal,Arendal
1072,Karlskrona,Карльскруна,Карлскруна,Карлскруна,Карлскруна,Karlskrona,Karlskrona
1073,Ngerulmud,Нгерулмуд,Нгерулмуд,Нгерулмуд,Нгерулмуд,Ngerulmud,Ngerulmud
1074,Bodø,Будзё,Буде,Будё,Будьо,Bodø,Bodø
1075,Drammen,Драмен,Драммен,Драммен,Драмен,Drammen,Drammen
1076,Kristiansand,Крысціянсан,Крістіансанн,Кристиансанн,Кристиансан,Kristiansand,Kristiansand
1077,Molde,Моле,Молде,Молде,Молде,Molde,Molde
1078,Skien,Шыен,Шієн,Шиен,Шиен,Skien,Skien
1081,Falun,Фалун,Фалун,Фалун,Фалун,Falun,Falun
1082,Knossos,Кнос,Кносс,Кносс,Кносос,Knosos,Knóssos
1083,Ramallah,Рамала,Рамалла,Рамалла,Рамала,Ramala,Rámaláh
1085,Mykeny,Мікены,Мікени,Микены,Микена,Mikene,Mykény
1086,Ratyzbona,Рэгенсбург,Регенсбург,Регенсбург,Регенсбург,Regensburg,Řezno
1089,Korynt,Карынф,Коринф,Коринф,Коринт,Korint,Korint
1090,Gozo,Гоца,Гоцо,Гоцо,Гозо,Gozo,Gozo
1092,Samotna Góra,Эрэбар,Еребор,Эребор,Самотна планина,Erebor,Osamělá hora
1094,Wuppertal,Вуперталь,Вупперталь,Вупперталь,Вупертал,Wuppertal,Wuppertal
1095,Trewir,Трыр,Трір,Трир,Трир,Trier,Trevír
1096,Pireus,Пірэй,Пірей,Пирей,Пирея,Pirej,Pireus
1097,Nagoja,Нагоя,Нагоя,Нагоя,Нагоя,Nagoja,Nagoja
1098,Boston,Бостан,Бостон,Бостон,Бостън,"Boston, Massachusetts",Boston
1099,Juneau,Джуна,Джуно,Джуно,Джуно,Juneau,Juneau
1100,Phoenix,Фінікс,Фінікс,Финикс,Финикс,"Phoenix, Arizona",Phoenix
1101,Denver,Дэнвер,Денвер,Денвер,Денвър,"Denver, Kolorado",Denver
1102,Richmond,Рычманд,Ричмонд,Ричмонд,Ричмънд,"Richmond, Virginija",Richmond
1104,Brunszwik,Браўншвайг,Брауншвейг,Брауншвейг,Брауншвайг,Braunschweig,Braunschweig
1105,Getynga,Гётынген,Геттінген,Гёттинген,Гьотинген,Göttingen,Göttingen
1107,Osasco,Азаску,Озаску,Озаску,Озаско,"Osasco, São Paulo",Osasco
1108,Oviedo,Аўеда,Ов'єдо,Овьедо,Овиедо,Oviedo,Oviedo
1110,Machu Picchu,Мачу-Пікчу,Мачу-Пікчу,Мачу-Пикчу,Мачу Пикчу,Machu Picchu,Machu Picchu
1111,Petra,Петра,Петра,Петра,Петра,Petra,Petra
1112,Pitcairn,Астравы Піткэрн,Піткерн,Острова Питкэрн,Питкерн,Pitcairnovi otoki,Pitcairnovy ostrovy
1113,Brytyjskie Terytorium Oceanu Indyjskiego,Брытанская тэрыторыя ў Індыйскім акіяне,Британська Територія в Індійському Океані,Британская Территория в Индийском Океане,Британска индоокеанска територия,Britansko ozemlje v Indijskem oceanu,Britské indickooceánské území
1116,Pampeluna,Памплона,Памплона,Памплона,Памплона,Pamplona,Pamplona
1124,Sziraz,Шыраз,Шираз,Шираз,Шираз,Širaz,Šíráz
1125,Liège,Льеж,Льєж,Льеж,Лиеж,Liège,Lutych
1126,Lozanna,Лазана,Лозанна,Лозанна,Лозана,Lozana,Lausanne
1127,Zug,Цуг,Цуг,Цуг,Цуг,Zug,Zug
1128,Aarau,Аарау,Аарау,Арау,Аарау,Aarau,Aarau
1129,Fryburg,Фрыбур,Фрібур,Фрибур,Фрибур,Fribourg,Fribourg
1130,Frauenfeld,Фраўэнфельд,Фрауенфельд,Фрауэнфельд,Фрауенфелд,Frauenfeld,Frauenfeld
1131,Brytyjskie Wyspy Dziewicze,Брытанскія Віргінскія астравы,Британські Віргінські Острови,Виргинские Острова,Британски Вирджински острови,Britanski Deviški otoki,Britské Panenské ostrovy
1132,Georgia Południowa i Sandwich Południowy,Паўднёвая Георгія і Паўднёвыя Сандвічавы астравы,Південна Джорджія і Південні Сандвічеві Острови,Южная Георгия и Южные Сандвичевы Острова,Южна Джорджия и Южни Сандвичеви острови,Južna Georgija in Južni Sandwichevi otoki,Jižní Georgie a Jižní Sandwichovy ostrovy
1134,Glarus,Гларус,Гларус,Гларус,Гларус,Glarus,Glarus
1135,Chur,Кур,Кур,Кур,Кур,Chur,Chur
1136,Stans,Штанс,Штанс,Штанс,Щанс,Stans,Stans
1137,Jassy,Ясы,Ясси,Яссы,Яш,Iași,Jasy
1138,Bellinzona,Белінцона,Беллінцона,Беллинцона,Белинцона,Bellinzona,Bellinzona
1139,Wormacja,Вормс,Вормс,Вормс,Вормс,Worms,Worms
1140,Susa,Сус,Сус,Сус,Сус,Sousse,Súsa
1143,Majuro,Маджура,Маджуро,Маджуро,Маджуро,Majuro,Majuro
1145,Wyspy Marshalla,Маршалавы Астравы,Маршаллові Острови,Маршалловы Острова,Маршалови острови,Marshallovi otoki,Marshallovy ostrovy
1147,Wyspy Salomona,Саламонавы Астравы,Соломонові Острови,Соломоновы Острова,Соломонови острови,Salomonovi otoki,Šalomounovy ostrovy
1148,Hryhorij Skoworoda,Рыгор Савіч Скаварада,Сковорода Григорій Савич,"Сковорода, Григорий Саввич",Григорий Сковорода,Grigorij Savič Skovoroda,Hryhorij Skovoroda
1151,Katania,Катанія,Катанія,Катания,Катания,Catania,Katánie
1152,Bukowina,Букавіна,Буковина,Буковина,Буковина,Bukovina,Bukovina
1153,Grenoble,Грэнобль,Гренобль,Гренобль,Гренобъл,Grenoble,Grenoble
1154,Espoo,Эспа,Еспоо,Эспоо,Еспоо,Espoo,Espoo
1157,Bydgoszcz,Быдгашч,Бидгощ,Быдгощ,Бидгошч,Bydgoszcz,Bydhošť
1158,Efez,Эфес,Ефес,Эфес,Ефес,Efez,Efez
1159,Uruk,Урук,Урук,Урук,Урук,Uruk,Uruk
1160,Ur,Ур,Ур,Ур,Ур,Ur,Ur
1161,Pittsburgh,Пітсбург,Піттсбург,Питтсбург,Питсбърг,Pittsburgh,Pittsburgh
1162,Lagasz,Лагаш,Лагаш,Лагаш,Лагаш,Lagaš,Lagaš
1164,Concepción,Кансепсьён,Консепсьйон,Консепсьон,Консепсион,Concepción,Concepción
1165,Limoges,Лімож,Лімож,Лимож,Лимож,Limoges,Limoges
1166,Milet,Мілет,Мілет,Милет,Милет,Milet,Milét
1167,Państwo Inków,Імперыя Інкаў,Інки,Империя инков,Империя на инките,Inkovski imperij,Incká říše
1169,Saint Louis,Сент-Луіс,Сент-Луїс,Сент-Луис,Сейнт Луис,St. Louis,St. Louis
1173,Królestwo Węgier,Каралеўства Венгрыя,Угорське королівство,Королевство Венгрия,Кралство Унгария,Ogrska,Uhersko
1174,Podolsk,Падольск,Подольськ,Подольск,Подолск,Podolsk,Podolsk
1176,Racibórz,Рацібуж,Ратибор,Рацибуж,Рачибуж,Racibórz,Ratiboř
1178,Bardejów,Бардзеёў,Бардіїв,Бардеёв,Бардейов,Bardejov,Bardejov
1179,Poprad,Попрад,Попрад,Попрад,Попрад,Poprad,Poprad
1183,Koszyce,Кошыцы,Кошиці,Кошице,Кошице,Košice,Košice
1184,Trnawa,Трнава,Трнава,Трнава,Търнава,Trnava,Trnava
1186,Bengazi,Бенгазі,Бенгазі,Бенгази,Бенгази,Bengazi,Benghází
